job_id,skill,proficiency
J0031,Logistics Analytics,Beginner
J0031,SAP EWM,Intermediate
J0031,C++,Advanced
J0031,SCADA,Intermediate
J0032,AWS,Beginner
J0032,Solar PV Design,Beginner
J0032,Git,Intermediate
J0032,SEO/SEM,Beginner
J0033,Kubernetes,Advanced
J0033,Machine Learning,Beginner
J0033,Docker,Beginner
J0034,Digital Electronics,Intermediate
J0034,Predictive Maintenance,Advanced
J0034,Logistics Analytics,Beginner
J0034,SAP EWM,Beginner
J0034,PLC Programming,Beginner
J0035,FastAPI,Beginner
J0035,Robotics Troubleshooting,Beginner
J0035,Logistics Analytics,Beginner
J0035,AWS,Beginner
J0035,Python,Advanced
J0036,AWS,Beginner
J0036,Machine Learning,Advanced
J0036,Docker,Beginner
J0036,React,Beginner
J0036,C++,Intermediate
J0037,Quantum Computing Basics,Advanced
J0037,IoT Sensors,Intermediate
J0037,AWS,Beginner
J0037,Microprocessors,Advanced
J0037,SAP EWM,Beginner
J0038,IoT Sensors,Advanced
J0038,AWS,Advanced
J0038,Electric Powertrain,Beginner
J0038,Robotics Troubleshooting,Advanced
J0039,Battery Management Systems,Advanced
J0039,Inventory Management,Advanced
J0039,Data Structures,Advanced
J0039,Digital Electronics,Intermediate
J0039,React,Intermediate
J0040,Robotics Troubleshooting,Advanced
J0040,Microprocessors,Beginner
J0040,Python,Intermediate
J0040,Grid Integration,Intermediate
J0040,FastAPI,Advanced
J0041,Power BI,Intermediate
J0041,Battery Management Systems,Beginner
J0041,Kubernetes,Advanced
J0041,Robotics Troubleshooting,Intermediate
J0042,Quantum Computing Basics,Intermediate
J0042,Git,Beginner
J0042,Python,Advanced
J0042,Predictive Maintenance,Intermediate
J0042,React,Advanced
J0043,Node.js,Advanced
J0043,Python,Advanced
J0043,React,Intermediate
J0043,SAP EWM,Intermediate
J0044,Content Strategy,Beginner
J0044,Quantum Computing Basics,Intermediate
J0044,Kubernetes,Intermediate
J0045,Robotics Troubleshooting,Advanced
J0045,AWS,Intermediate
J0045,Node.js,Intermediate
J0046,Kubernetes,Advanced
J0046,FastAPI,Advanced
J0046,SQL,Beginner
J0046,Data Structures,Intermediate
J0047,Electric Powertrain,Intermediate
J0047,Battery Management Systems,Beginner
J0047,Inventory Management,Intermediate
J0048,Machine Learning,Beginner
J0048,Content Strategy,Advanced
J0048,Git,Intermediate
J0048,FastAPI,Intermediate
J0048,Node.js,Advanced
J0049,SCADA,Intermediate
J0049,Logistics Analytics,Advanced
J0049,Docker,Beginner
J0049,SQL,Intermediate
J0050,AWS,Beginner
J0050,Electric Powertrain,Beginner
J0050,Docker,Beginner
J0050,Solar PV Design,Intermediate
J0050,Microprocessors,Advanced
J0051,FastAPI,Intermediate
J0051,SCADA,Advanced
J0051,Content Strategy,Advanced
J0052,AWS,Advanced
J0052,Robotics Troubleshooting,Beginner
J0052,Grid Integration,Intermediate
J0052,IoT Sensors,Advanced
J0052,Python,Advanced
J0053,SEO/SEM,Beginner
J0053,Microprocessors,Intermediate
J0053,Content Strategy,Intermediate
J0053,Predictive Maintenance,Beginner
J0054,Solar PV Design,Advanced
J0054,SQL,Beginner
J0054,Quantum Computing Basics,Intermediate
J0055,Python,Intermediate
J0055,IoT Sensors,Advanced
J0055,Data Structures,Intermediate
J0055,Power BI,Advanced
J0056,Node.js,Intermediate
J0056,Logistics Analytics,Beginner
J0056,SEO/SEM,Intermediate
J0056,Data Structures,Beginner
J0057,IoT Sensors,Beginner
J0057,Data Structures,Beginner
J0057,Docker,Beginner
J0058,FastAPI,Intermediate
J0058,Docker,Intermediate
J0058,Electric Powertrain,Intermediate
J0058,Battery Management Systems,Beginner
J0059,Power BI,Beginner
J0059,Git,Advanced
J0059,SCADA,Beginner
J0060,React,Advanced
J0060,Git,Intermediate
J0060,SCADA,Advanced
J0060,Data Structures,Beginner
J0060,PLC Programming,Advanced
J0061,Robotics Troubleshooting,Advanced
J0061,SAP EWM,Intermediate
J0061,Inventory Management,Advanced
J0062,IoT Sensors,Intermediate
J0062,Digital Electronics,Beginner
J0062,React,Advanced
J0063,Node.js,Advanced
J0063,Digital Electronics,Advanced
J0063,Microprocessors,Beginner
J0063,SCADA,Advanced
J0063,React,Advanced
J0064,IoT Sensors,Advanced
J0064,Kubernetes,Intermediate
J0064,Git,Beginner
J0065,Electric Powertrain,Beginner
J0065,Power BI,Advanced
J0065,Kubernetes,Beginner
J0065,SAP EWM,Intermediate
J0065,React,Intermediate
J0066,Robotics Troubleshooting,Advanced
J0066,Kubernetes,Beginner
J0066,PLC Programming,Advanced
J0067,Electric Powertrain,Advanced
J0067,SCADA,Beginner
J0067,SQL,Beginner
J0067,Grid Integration,Advanced
J0068,Content Strategy,Intermediate
J0068,SCADA,Intermediate
J0068,Quantum Computing Basics,Intermediate
J0068,C++,Advanced
J0069,AWS,Beginner
J0069,Digital Electronics,Beginner
J0069,Machine Learning,Advanced
J0070,Quantum Computing Basics,Intermediate
J0070,Battery Management Systems,Advanced
J0070,SCADA,Advanced
J0070,Machine Learning,Advanced
J0071,AWS,Intermediate
J0071,SCADA,Intermediate
J0071,IoT Sensors,Intermediate
J0072,Logistics Analytics,Intermediate
J0072,SEO/SEM,Intermediate
J0072,Data Structures,Intermediate
J0073,Predictive Maintenance,Beginner
J0073,React,Beginner
J0073,Kubernetes,Beginner
J0073,SEO/SEM,Advanced
J0073,Data Structures,Intermediate
J0074,Solar PV Design,Beginner
J0074,Quantum Computing Basics,Intermediate
J0074,Docker,Beginner
J0074,Electric Powertrain,Intermediate
J0075,Docker,Intermediate
J0075,SEO/SEM,Intermediate
J0075,SAP EWM,Beginner
J0075,Data Structures,Advanced
J0076,Quantum Computing Basics,Beginner
J0076,Data Structures,Advanced
J0076,IoT Sensors,Advanced
J0076,AWS,Beginner
J0077,Grid Integration,Beginner
J0077,Docker,Intermediate
J0077,Predictive Maintenance,Advanced
J0077,React,Intermediate
J0078,Quantum Computing Basics,Advanced
J0078,SEO/SEM,Beginner
J0078,Docker,Beginner
J0079,React,Beginner
J0079,AWS,Intermediate
J0079,Machine Learning,Intermediate
J0079,C++,Intermediate
J0080,Content Strategy,Beginner
J0080,Predictive Maintenance,Intermediate
J0080,Machine Learning,Intermediate
J0080,Inventory Management,Advanced
J0081,AWS,Advanced
J0081,SEO/SEM,Beginner
J0081,Node.js,Intermediate
J0081,Digital Electronics,Beginner
J0081,Git,Advanced
J0082,Data Structures,Beginner
J0082,Content Strategy,Advanced
J0082,Electric Powertrain,Beginner
J0083,Solar PV Design,Beginner
J0083,Electric Powertrain,Beginner
J0083,Battery Management Systems,Advanced
J0083,Data Structures,Intermediate
J0084,Quantum Computing Basics,Intermediate
J0084,Kubernetes,Beginner
J0084,Data Structures,Beginner
J0085,Node.js,Advanced
J0085,SQL,Advanced
J0085,SAP EWM,Intermediate
J0085,Microprocessors,Advanced
J0086,SAP EWM,Beginner
J0086,Electric Powertrain,Intermediate
J0086,Grid Integration,Advanced
J0086,Power BI,Beginner
J0086,Git,Intermediate
J0087,React,Advanced
J0087,Docker,Intermediate
J0087,Machine Learning,Intermediate
J0088,Solar PV Design,Beginner
J0088,Node.js,Intermediate
J0088,C++,Intermediate
J0088,Inventory Management,Intermediate
J0088,Quantum Computing Basics,Advanced
J0089,Battery Management Systems,Advanced
J0089,IoT Sensors,Advanced
J0089,Quantum Computing Basics,Intermediate
J0090,Kubernetes,Beginner
J0090,Data Structures,Beginner
J0090,Digital Electronics,Beginner
J0090,Content Strategy,Beginner
J0091,SCADA,Beginner
J0091,Predictive Maintenance,Advanced
J0091,Data Structures,Advanced
J0091,Docker,Intermediate
J0092,Logistics Analytics,Beginner
J0092,Docker,Advanced
J0092,Battery Management Systems,Beginner
J0092,Python,Advanced
J0093,C++,Advanced
J0093,Content Strategy,Intermediate
J0093,Predictive Maintenance,Beginner
J0093,Solar PV Design,Advanced
J0093,Inventory Management,Intermediate
J0094,Docker,Beginner
J0094,Inventory Management,Beginner
J0094,Data Structures,Intermediate
J0094,SQL,Intermediate
J0094,Robotics Troubleshooting,Beginner
J0095,Electric Powertrain,Beginner
J0095,FastAPI,Advanced
J0095,PLC Programming,Intermediate
J0095,Logistics Analytics,Beginner
J0096,SEO/SEM,Advanced
J0096,SAP EWM,Beginner
J0096,PLC Programming,Beginner
J0097,Inventory Management,Intermediate
J0097,Digital Electronics,Advanced
J0097,Solar PV Design,Beginner
J0098,Node.js,Advanced
J0098,Electric Powertrain,Intermediate
J0098,Battery Management Systems,Advanced
J0098,C++,Beginner
J0098,FastAPI,Advanced
J0099,Battery Management Systems,Intermediate
J0099,Digital Electronics,Beginner
J0099,Inventory Management,Advanced
J0099,FastAPI,Intermediate
J0100,Node.js,Beginner
J0100,Git,Intermediate
J0100,Data Structures,Intermediate
J0101,Battery Management Systems,Intermediate
J0101,Quantum Computing Basics,Advanced
J0101,Power BI,Intermediate
J0101,Docker,Beginner
J0101,Logistics Analytics,Advanced
J0102,Battery Management Systems,Beginner
J0102,SQL,Intermediate
J0102,FastAPI,Beginner
J0103,Inventory Management,Beginner
J0103,Logistics Analytics,Advanced
J0103,Data Structures,Beginner
J0104,Solar PV Design,Beginner
J0104,PLC Programming,Intermediate
J0104,Content Strategy,Advanced
J0104,Grid Integration,Beginner
J0104,Kubernetes,Intermediate
J0105,SQL,Beginner
J0105,Docker,Advanced
J0105,C++,Intermediate
J0105,Grid Integration,Intermediate
J0106,Power BI,Beginner
J0106,C++,Intermediate
J0106,AWS,Beginner
J0106,SCADA,Beginner
J0107,Python,Intermediate
J0107,React,Advanced
J0107,IoT Sensors,Beginner
J0107,SAP EWM,Beginner
J0107,Microprocessors,Beginner
J0108,SAP EWM,Intermediate
J0108,Power BI,Intermediate
J0108,Grid Integration,Advanced
J0109,AWS,Advanced
J0109,Python,Advanced
J0109,Electric Powertrain,Beginner
J0110,Content Strategy,Advanced
J0110,Quantum Computing Basics,Intermediate
J0110,Data Structures,Intermediate
J0110,SAP EWM,Intermediate
J0111,Data Structures,Intermediate
J0111,AWS,Intermediate
J0111,SAP EWM,Beginner
J0111,Predictive Maintenance,Beginner
J0111,Electric Powertrain,Advanced
J0112,IoT Sensors,Beginner
J0112,Data Structures,Intermediate
J0112,Microprocessors,Advanced
J0113,Logistics Analytics,Beginner
J0113,Electric Powertrain,Beginner
J0113,IoT Sensors,Beginner
J0114,Machine Learning,Intermediate
J0114,Node.js,Beginner
J0114,Electric Powertrain,Advanced
J0115,Quantum Computing Basics,Intermediate
J0115,Power BI,Beginner
J0115,Robotics Troubleshooting,Beginner
J0115,Node.js,Intermediate
J0116,Git,Advanced
J0116,SCADA,Advanced
J0116,FastAPI,Intermediate
J0116,Content Strategy,Advanced
J0117,Quantum Computing Basics,Advanced
J0117,Battery Management Systems,Beginner
J0117,SEO/SEM,Intermediate
J0117,IoT Sensors,Beginner
J0118,Node.js,Beginner
J0118,FastAPI,Intermediate
J0118,SAP EWM,Intermediate
J0118,Battery Management Systems,Advanced
J0119,Robotics Troubleshooting,Advanced
J0119,Python,Intermediate
J0119,Inventory Management,Intermediate
J0119,FastAPI,Beginner
J0119,Logistics Analytics,Advanced
J0120,Inventory Management,Beginner
J0120,SEO/SEM,Advanced
J0120,Grid Integration,Beginner
J0120,Quantum Computing Basics,Intermediate
J0121,Content Strategy,Beginner
J0121,SQL,Advanced
J0121,SCADA,Advanced
J0121,Predictive Maintenance,Intermediate
J0121,Docker,Advanced
J0122,C++,Intermediate
J0122,Microprocessors,Advanced
J0122,PLC Programming,Beginner
J0122,FastAPI,Beginner
J0122,SEO/SEM,Intermediate
J0123,Battery Management Systems,Beginner
J0123,Electric Powertrain,Advanced
J0123,Kubernetes,Beginner
J0123,SAP EWM,Intermediate
J0124,SEO/SEM,Advanced
J0124,Quantum Computing Basics,Beginner
J0124,Git,Advanced
J0125,Robotics Troubleshooting,Advanced
J0125,Data Structures,Intermediate
J0125,Git,Intermediate
J0126,SAP EWM,Beginner
J0126,Digital Electronics,Intermediate
J0126,Solar PV Design,Beginner
J0126,Content Strategy,Advanced
J0127,SAP EWM,Beginner
J0127,C++,Intermediate
J0127,Kubernetes,Beginner
J0128,Data Structures,Advanced
J0128,Digital Electronics,Intermediate
J0128,C++,Intermediate
J0128,Solar PV Design,Intermediate
J0129,React,Intermediate
J0129,Predictive Maintenance,Advanced
J0129,SQL,Beginner
J0129,Microprocessors,Advanced
J0129,Docker,Intermediate
J0130,Robotics Troubleshooting,Beginner
J0130,SQL,Beginner
J0130,Microprocessors,Intermediate
J0130,Solar PV Design,Intermediate
J0131,Electric Powertrain,Advanced
J0131,Predictive Maintenance,Intermediate
J0131,Content Strategy,Beginner
J0131,AWS,Advanced
J0132,Logistics Analytics,Intermediate
J0132,Inventory Management,Beginner
J0132,Git,Intermediate
J0132,Battery Management Systems,Intermediate
J0132,Docker,Intermediate
J0133,Content Strategy,Advanced
J0133,Power BI,Intermediate
J0133,Electric Powertrain,Intermediate
J0133,Digital Electronics,Beginner
J0133,Grid Integration,Advanced
J0134,Data Structures,Advanced
J0134,FastAPI,Beginner
J0134,Node.js,Intermediate
J0135,Microprocessors,Intermediate
J0135,Machine Learning,Beginner
J0135,Predictive Maintenance,Advanced
J0135,Python,Intermediate
J0136,Power BI,Beginner
J0136,Solar PV Design,Beginner
J0136,SEO/SEM,Intermediate
J0137,Docker,Advanced
J0137,Logistics Analytics,Intermediate
J0137,C++,Intermediate
J0137,Electric Powertrain,Intermediate
J0137,Content Strategy,Advanced
J0138,Predictive Maintenance,Beginner
J0138,SCADA,Advanced
J0138,Git,Intermediate
J0139,Kubernetes,Beginner
J0139,PLC Programming,Advanced
J0139,Content Strategy,Beginner
J0139,Digital Electronics,Beginner
J0140,Quantum Computing Basics,Advanced
J0140,SEO/SEM,Beginner
J0140,Electric Powertrain,Advanced
J0140,Logistics Analytics,Beginner
J0140,Kubernetes,Beginner
J0141,Git,Beginner
J0141,Digital Electronics,Beginner
J0141,C++,Beginner
J0141,Predictive Maintenance,Advanced
J0141,SAP EWM,Intermediate
J0142,C++,Intermediate
J0142,SCADA,Beginner
J0142,Microprocessors,Intermediate
J0142,Kubernetes,Intermediate
J0142,SAP EWM,Advanced
J0143,Power BI,Advanced
J0143,AWS,Beginner
J0143,Quantum Computing Basics,Advanced
J0143,Python,Advanced
J0144,Content Strategy,Beginner
J0144,Battery Management Systems,Beginner
J0144,SAP EWM,Beginner
J0144,Python,Advanced
J0145,Python,Beginner
J0145,Robotics Troubleshooting,Beginner
J0145,Machine Learning,Beginner
J0146,Battery Management Systems,Intermediate
J0146,Logistics Analytics,Advanced
J0146,Solar PV Design,Beginner
J0146,Python,Beginner
J0146,FastAPI,Intermediate
J0147,Grid Integration,Beginner
J0147,Power BI,Advanced
J0147,SEO/SEM,Advanced
J0147,Microprocessors,Beginner
J0148,Data Structures,Advanced
J0148,Battery Management Systems,Advanced
J0148,Logistics Analytics,Intermediate
J0149,Robotics Troubleshooting,Beginner
J0149,IoT Sensors,Beginner
J0149,Inventory Management,Advanced
J0149,Battery Management Systems,Advanced
J0150,Quantum Computing Basics,Advanced
J0150,Data Structures,Beginner
J0150,Microprocessors,Beginner
J0150,Digital Electronics,Beginner
J0151,Python,Beginner
J0151,SAP EWM,Beginner
J0151,C++,Intermediate
J0152,Git,Advanced
J0152,Predictive Maintenance,Beginner
J0152,SCADA,Intermediate
J0152,Kubernetes,Advanced
J0153,Machine Learning,Beginner
J0153,C++,Beginner
J0153,Robotics Troubleshooting,Intermediate
J0153,Predictive Maintenance,Intermediate
J0154,SAP EWM,Intermediate
J0154,C++,Intermediate
J0154,Electric Powertrain,Intermediate
J0154,Digital Electronics,Intermediate
J0154,SQL,Advanced
J0155,Digital Electronics,Beginner
J0155,SEO/SEM,Intermediate
J0155,Kubernetes,Beginner
J0156,Quantum Computing Basics,Intermediate
J0156,SCADA,Beginner
J0156,FastAPI,Beginner
J0156,React,Advanced
J0157,Quantum Computing Basics,Beginner
J0157,Microprocessors,Intermediate
J0157,Battery Management Systems,Advanced
J0157,Inventory Management,Intermediate
J0157,Content Strategy,Beginner
J0158,SCADA,Advanced
J0158,Solar PV Design,Intermediate
J0158,SEO/SEM,Intermediate
J0158,Robotics Troubleshooting,Advanced
J0159,SCADA,Beginner
J0159,Data Structures,Beginner
J0159,Inventory Management,Advanced
J0159,Microprocessors,Advanced
J0160,Logistics Analytics,Advanced
J0160,SAP EWM,Intermediate
J0160,SQL,Beginner
J0160,PLC Programming,Beginner
J0161,Power BI,Intermediate
J0161,SEO/SEM,Advanced
J0161,Predictive Maintenance,Intermediate
J0162,Power BI,Advanced
J0162,Content Strategy,Advanced
J0162,IoT Sensors,Beginner
J0163,Inventory Management,Intermediate
J0163,Docker,Beginner
J0163,FastAPI,Intermediate
J0163,PLC Programming,Beginner
J0163,Logistics Analytics,Beginner
J0164,PLC Programming,Intermediate
J0164,SCADA,Beginner
J0164,React,Advanced
J0164,Machine Learning,Advanced
J0165,Robotics Troubleshooting,Advanced
J0165,Docker,Intermediate
J0165,PLC Programming,Advanced
J0165,SAP EWM,Intermediate
J0166,SQL,Beginner
J0166,Grid Integration,Advanced
J0166,React,Beginner
J0166,Digital Electronics,Advanced
J0167,SEO/SEM,Beginner
J0167,SCADA,Intermediate
J0167,Git,Beginner
J0167,Predictive Maintenance,Intermediate
J0167,C++,Beginner
J0168,C++,Beginner
J0168,Logistics Analytics,Advanced
J0168,Microprocessors,Advanced
J0168,PLC Programming,Advanced
J0168,Electric Powertrain,Intermediate
J0169,Kubernetes,Intermediate
J0169,Solar PV Design,Advanced
J0169,SAP EWM,Advanced
J0169,Microprocessors,Beginner
J0170,Microprocessors,Advanced
J0170,SQL,Beginner
J0170,Kubernetes,Intermediate
J0170,Quantum Computing Basics,Intermediate
J0171,C++,Advanced
J0171,Data Structures,Advanced
J0171,Quantum Computing Basics,Advanced
J0172,Microprocessors,Advanced
J0172,Git,Intermediate
J0172,PLC Programming,Intermediate
J0172,Kubernetes,Advanced
J0173,AWS,Intermediate
J0173,PLC Programming,Advanced
J0173,Solar PV Design,Advanced
J0173,Docker,Advanced
J0173,IoT Sensors,Intermediate
J0174,Kubernetes,Intermediate
J0174,Docker,Beginner
J0174,React,Beginner
J0174,C++,Advanced
J0174,AWS,Intermediate
J0175,AWS,Beginner
J0175,Node.js,Intermediate
J0175,Microprocessors,Advanced
J0175,React,Beginner
J0175,Electric Powertrain,Beginner
J0176,Battery Management Systems,Beginner
J0176,Quantum Computing Basics,Beginner
J0176,Node.js,Intermediate
J0176,FastAPI,Advanced
J0177,Digital Electronics,Intermediate
J0177,Python,Advanced
J0177,Solar PV Design,Intermediate
J0177,FastAPI,Beginner
J0178,IoT Sensors,Intermediate
J0178,FastAPI,Intermediate
J0178,Machine Learning,Intermediate
J0179,Solar PV Design,Advanced
J0179,Digital Electronics,Intermediate
J0179,Grid Integration,Intermediate
J0179,Predictive Maintenance,Intermediate
J0179,Machine Learning,Beginner
J0180,Node.js,Beginner
J0180,Battery Management Systems,Beginner
J0180,SQL,Beginner
J0180,Predictive Maintenance,Advanced
J0180,Logistics Analytics,Beginner
J0181,Quantum Computing Basics,Intermediate
J0181,IoT Sensors,Advanced
J0181,Git,Intermediate
J0182,PLC Programming,Advanced
J0182,Machine Learning,Intermediate
J0182,Grid Integration,Advanced
J0182,Power BI,Beginner
J0183,Logistics Analytics,Advanced
J0183,Node.js,Beginner
J0183,SQL,Advanced
J0183,Machine Learning,Intermediate
J0183,Robotics Troubleshooting,Advanced
J0184,Content Strategy,Intermediate
J0184,IoT Sensors,Beginner
J0184,Python,Beginner
J0185,Power BI,Intermediate
J0185,Git,Beginner
J0185,Electric Powertrain,Intermediate
J0186,Python,Beginner
J0186,Content Strategy,Beginner
J0186,Microprocessors,Advanced
J0186,Kubernetes,Advanced
J0187,Data Structures,Beginner
J0187,React,Intermediate
J0187,AWS,Advanced
J0187,Electric Powertrain,Advanced
J0187,Grid Integration,Intermediate
J0188,C++,Beginner
J0188,Microprocessors,Beginner
J0188,Docker,Advanced
J0188,Predictive Maintenance,Beginner
J0189,Digital Electronics,Beginner
J0189,FastAPI,Beginner
J0189,Inventory Management,Beginner
J0190,SEO/SEM,Intermediate
J0190,IoT Sensors,Intermediate
J0190,Docker,Beginner
J0190,AWS,Advanced
J0191,Digital Electronics,Beginner
J0191,SEO/SEM,Intermediate
J0191,FastAPI,Beginner
J0192,Digital Electronics,Intermediate
J0192,Grid Integration,Intermediate
J0192,Logistics Analytics,Beginner
J0192,Inventory Management,Beginner
J0193,Robotics Troubleshooting,Intermediate
J0193,Data Structures,Beginner
J0193,Git,Beginner
J0193,Electric Powertrain,Intermediate
J0193,Solar PV Design,Intermediate
J0194,Kubernetes,Advanced
J0194,Logistics Analytics,Intermediate
J0194,Predictive Maintenance,Beginner
J0194,React,Advanced
J0195,AWS,Beginner
J0195,Battery Management Systems,Advanced
J0195,Electric Powertrain,Advanced
J0195,Robotics Troubleshooting,Beginner
J0195,C++,Advanced
J0196,SCADA,Intermediate
J0196,Python,Intermediate
J0196,Docker,Intermediate
J0197,Solar PV Design,Advanced
J0197,Node.js,Beginner
J0197,Logistics Analytics,Beginner
J0197,Battery Management Systems,Beginner
J0198,Docker,Intermediate
J0198,Node.js,Beginner
J0198,SCADA,Intermediate
J0199,React,Intermediate
J0199,C++,Advanced
J0199,Node.js,Beginner
J0199,Data Structures,Beginner
J0200,Kubernetes,Intermediate
J0200,Inventory Management,Advanced
J0200,SCADA,Beginner
J0201,PLC Programming,Beginner
J0201,Machine Learning,Advanced
J0201,Logistics Analytics,Intermediate
J0201,Robotics Troubleshooting,Intermediate
J0201,Quantum Computing Basics,Advanced
J0202,FastAPI,Beginner
J0202,Logistics Analytics,Beginner
J0202,Microprocessors,Intermediate
J0202,Electric Powertrain,Beginner
J0203,IoT Sensors,Beginner
J0203,Content Strategy,Advanced
J0203,Quantum Computing Basics,Intermediate
J0204,Quantum Computing Basics,Intermediate
J0204,Grid Integration,Beginner
J0204,AWS,Beginner
J0204,Solar PV Design,Beginner
J0204,SQL,Beginner
J0205,Quantum Computing Basics,Advanced
J0205,Docker,Intermediate
J0205,Logistics Analytics,Advanced
J0206,AWS,Intermediate
J0206,Inventory Management,Intermediate
J0206,Predictive Maintenance,Intermediate
J0206,Machine Learning,Beginner
J0206,SCADA,Intermediate
J0207,Logistics Analytics,Beginner
J0207,Docker,Beginner
J0207,Power BI,Intermediate
J0207,Grid Integration,Intermediate
J0208,React,Intermediate
J0208,Docker,Beginner
J0208,Predictive Maintenance,Intermediate
J0209,Logistics Analytics,Advanced
J0209,Node.js,Intermediate
J0209,Predictive Maintenance,Intermediate
J0209,React,Advanced
J0209,Microprocessors,Intermediate
J0210,SCADA,Advanced
J0210,IoT Sensors,Intermediate
J0210,Quantum Computing Basics,Advanced
J0210,Content Strategy,Intermediate
J0211,Node.js,Beginner
J0211,PLC Programming,Intermediate
J0211,React,Beginner
J0211,SCADA,Advanced
J0211,IoT Sensors,Intermediate
J0212,SQL,Intermediate
J0212,Power BI,Intermediate
J0212,PLC Programming,Beginner
J0212,Digital Electronics,Advanced
J0212,C++,Intermediate
J0213,Robotics Troubleshooting,Beginner
J0213,Node.js,Beginner
J0213,Quantum Computing Basics,Intermediate
J0214,PLC Programming,Beginner
J0214,IoT Sensors,Intermediate
J0214,SQL,Intermediate
J0215,Machine Learning,Advanced
J0215,Data Structures,Advanced
J0215,PLC Programming,Intermediate
J0215,Inventory Management,Beginner
J0216,Grid Integration,Intermediate
J0216,Power BI,Advanced
J0216,SCADA,Beginner
J0216,Inventory Management,Intermediate
J0217,Data Structures,Advanced
J0217,FastAPI,Beginner
J0217,Python,Advanced
J0217,Microprocessors,Intermediate
J0217,SCADA,Advanced
J0218,Inventory Management,Advanced
J0218,AWS,Beginner
J0218,Data Structures,Beginner
J0218,C++,Intermediate
J0219,Data Structures,Beginner
J0219,Microprocessors,Beginner
