placement_id,course_id,student_id,company_name,role,salary_offered,district,placement_year
P0022,C001,STU_C001_022,Company_97,Full Stack Developer,463066,Chhatrapati Sambhajinagar,2026
P0023,C001,STU_C001_023,Company_98,Full Stack Developer,485064,Chhatrapati Sambhajinagar,2026
P0024,C001,STU_C001_024,Company_99,Full Stack Developer,373143,Chhatrapati Sambhajinagar,2026
P0025,C001,STU_C001_025,Company_3,Full Stack Developer,439171,Chhatrapati Sambhajinagar,2026
P0026,C001,STU_C001_026,Company_9,Full Stack Developer,488319,Chhatrapati Sambhajinagar,2026
P0027,C001,STU_C001_027,Company_13,Full Stack Developer,393675,Chhatrapati Sambhajinagar,2026
P0028,C001,STU_C001_028,Company_21,Full Stack Developer,508177,Chhatrapati Sambhajinagar,2026
P0029,C001,STU_C001_029,Company_24,Full Stack Developer,434952,Chhatrapati Sambhajinagar,2026
P0030,C001,STU_C001_030,Company_25,Full Stack Developer,458122,Chhatrapati Sambhajinagar,2026
P0031,C001,STU_C001_031,Company_28,Full Stack Developer,434872,Chhatrapati Sambhajinagar,2026
P0032,C001,STU_C001_032,Company_31,Full Stack Developer,618920,Chhatrapati Sambhajinagar,2026
P0033,C001,STU_C001_033,Company_32,Full Stack Developer,478987,Chhatrapati Sambhajinagar,2026
P0034,C001,STU_C001_034,Company_34,Full Stack Developer,400671,Chhatrapati Sambhajinagar,2026
P0035,C001,STU_C001_035,Company_41,Full Stack Developer,541690,Chhatrapati Sambhajinagar,2026
P0036,C001,STU_C001_036,Company_45,Full Stack Developer,388436,Chhatrapati Sambhajinagar,2026
P0037,C001,STU_C001_037,Company_56,Full Stack Developer,495664,Chhatrapati Sambhajinagar,2026
P0038,C001,STU_C001_038,Company_64,Full Stack Developer,333024,Chhatrapati Sambhajinagar,2026
P0039,C001,STU_C001_039,Company_66,Full Stack Developer,380386,Chhatrapati Sambhajinagar,2026
P0040,C001,STU_C001_040,Company_73,Full Stack Developer,494764,Chhatrapati Sambhajinagar,2026
P0041,C001,STU_C001_041,Company_76,Full Stack Developer,535384,Chhatrapati Sambhajinagar,2026
P0042,C001,STU_C001_042,Company_78,Full Stack Developer,492852,Chhatrapati Sambhajinagar,2026
P0043,C001,STU_C001_043,Company_79,Full Stack Developer,471326,Chhatrapati Sambhajinagar,2026
P0044,C001,STU_C001_044,Company_82,Full Stack Developer,457417,Chhatrapati Sambhajinagar,2026
P0045,C001,STU_C001_045,Company_84,Full Stack Developer,369110,Chhatrapati Sambhajinagar,2026
P0046,C001,STU_C001_046,Company_86,Full Stack Developer,426011,Chhatrapati Sambhajinagar,2026
P0047,C001,STU_C001_047,Company_96,Full Stack Developer,445452,Chhatrapati Sambhajinagar,2026
P0048,C001,STU_C001_048,Company_97,Full Stack Developer,559284,Chhatrapati Sambhajinagar,2026
P0049,C001,STU_C001_049,Company_98,Full Stack Developer,505771,Chhatrapati Sambhajinagar,2026
P0050,C001,STU_C001_050,Company_99,Full Stack Developer,347771,Chhatrapati Sambhajinagar,2026
P0051,C001,STU_C001_051,Company_3,Full Stack Developer,504306,Chhatrapati Sambhajinagar,2026
P0052,C001,STU_C001_052,Company_9,Full Stack Developer,451118,Chhatrapati Sambhajinagar,2026
P0053,C001,STU_C001_053,Company_13,Full Stack Developer,429230,Chhatrapati Sambhajinagar,2026
P0054,C001,STU_C001_054,Company_21,Full Stack Developer,525875,Chhatrapati Sambhajinagar,2026
P0055,C001,STU_C001_055,Company_24,Full Stack Developer,557324,Chhatrapati Sambhajinagar,2026
P0056,C001,STU_C001_056,Company_25,Full Stack Developer,549846,Chhatrapati Sambhajinagar,2026
P0057,C001,STU_C001_057,Company_28,Full Stack Developer,417058,Chhatrapati Sambhajinagar,2026
P0058,C001,STU_C001_058,Company_31,Full Stack Developer,456809,Chhatrapati Sambhajinagar,2026
P0059,C001,STU_C001_059,Company_32,Full Stack Developer,504844,Chhatrapati Sambhajinagar,2026
P0060,C001,STU_C001_060,Company_34,Full Stack Developer,553165,Chhatrapati Sambhajinagar,2026
P0061,C002,STU_C002_001,Company_21,Data Analyst,444061,Chhatrapati Sambhajinagar,2026
P0062,C002,STU_C002_002,Company_24,Data Analyst,466075,Chhatrapati Sambhajinagar,2026
P0063,C002,STU_C002_003,Company_25,Data Analyst,397024,Chhatrapati Sambhajinagar,2026
P0064,C002,STU_C002_004,Company_28,Data Analyst,390284,Chhatrapati Sambhajinagar,2026
P0065,C002,STU_C002_005,Company_31,Data Analyst,540939,Chhatrapati Sambhajinagar,2026
P0066,C002,STU_C002_006,Company_32,Data Analyst,581718,Chhatrapati Sambhajinagar,2026
P0067,C002,STU_C002_007,Company_34,Data Analyst,474599,Chhatrapati Sambhajinagar,2026
P0068,C002,STU_C002_008,Company_41,Data Analyst,555264,Chhatrapati Sambhajinagar,2026
P0069,C002,STU_C002_009,Company_45,Data Analyst,507122,Chhatrapati Sambhajinagar,2026
P0070,C002,STU_C002_010,Company_56,Data Analyst,431616,Chhatrapati Sambhajinagar,2026
P0071,C002,STU_C002_011,Company_64,Data Analyst,507104,Chhatrapati Sambhajinagar,2026
P0072,C002,STU_C002_012,Company_66,Data Analyst,595352,Chhatrapati Sambhajinagar,2026
P0073,C002,STU_C002_013,Company_73,Data Analyst,477313,Chhatrapati Sambhajinagar,2026
P0074,C002,STU_C002_014,Company_76,Data Analyst,597348,Chhatrapati Sambhajinagar,2026
P0075,C002,STU_C002_015,Company_78,Data Analyst,320000,Chhatrapati Sambhajinagar,2026
P0076,C002,STU_C002_016,Company_79,Data Analyst,541642,Chhatrapati Sambhajinagar,2026
P0077,C002,STU_C002_017,Company_82,Data Analyst,486528,Chhatrapati Sambhajinagar,2026
P0078,C002,STU_C002_018,Company_84,Data Analyst,457574,Chhatrapati Sambhajinagar,2026
P0079,C002,STU_C002_019,Company_86,Data Analyst,486882,Chhatrapati Sambhajinagar,2026
P0080,C002,STU_C002_020,Company_96,Data Analyst,330932,Chhatrapati Sambhajinagar,2026
P0081,C002,STU_C002_021,Company_97,Data Analyst,463524,Chhatrapati Sambhajinagar,2026
P0082,C002,STU_C002_022,Company_98,Data Analyst,506783,Chhatrapati Sambhajinagar,2026
P0083,C002,STU_C002_023,Company_99,Data Analyst,590842,Chhatrapati Sambhajinagar,2026
P0084,C002,STU_C002_024,Company_3,Data Analyst,441129,Chhatrapati Sambhajinagar,2026
P0085,C002,STU_C002_025,Company_9,Data Analyst,419362,Chhatrapati Sambhajinagar,2026
P0086,C002,STU_C002_026,Company_13,Data Analyst,442368,Chhatrapati Sambhajinagar,2026
P0087,C003,STU_C003_001,Company_15,EV Battery Technician,548655,Mumbai,2026
P0088,C003,STU_C003_002,Company_18,EV Battery Technician,504656,Mumbai,2026
P0089,C003,STU_C003_003,Company_19,EV Battery Technician,440267,Mumbai,2026
P0090,C003,STU_C003_004,Company_22,EV Battery Technician,518495,Mumbai,2026
P0091,C003,STU_C003_005,Company_23,EV Battery Technician,487280,Mumbai,2026
P0092,C003,STU_C003_006,Company_27,EV Battery Technician,552648,Mumbai,2026
P0093,C003,STU_C003_007,Company_30,EV Battery Technician,427346,Mumbai,2026
P0094,C003,STU_C003_008,Company_42,EV Battery Technician,455425,Mumbai,2026
P0095,C003,STU_C003_009,Company_44,EV Battery Technician,450591,Mumbai,2026
P0096,C003,STU_C003_010,Company_47,EV Battery Technician,370236,Mumbai,2026
P0097,C003,STU_C003_011,Company_49,EV Battery Technician,502209,Mumbai,2026
P0098,C003,STU_C003_012,Company_50,EV Battery Technician,499579,Mumbai,2026
P0099,C003,STU_C003_013,Company_54,EV Battery Technician,480383,Mumbai,2026
P0100,C003,STU_C003_014,Company_61,EV Battery Technician,462405,Mumbai,2026
P0101,C003,STU_C003_015,Company_69,EV Battery Technician,373847,Mumbai,2026
P0102,C003,STU_C003_016,Company_70,EV Battery Technician,448451,Mumbai,2026
P0103,C003,STU_C003_017,Company_85,EV Battery Technician,454296,Mumbai,2026
P0104,C003,STU_C003_018,Company_92,EV Battery Technician,419829,Mumbai,2026
P0105,C003,STU_C003_019,Company_94,EV Battery Technician,467903,Mumbai,2026
P0106,C003,STU_C003_020,Company_7,EV Battery Technician,510303,Mumbai,2026
P0107,C003,STU_C003_021,Company_8,EV Battery Technician,621463,Mumbai,2026
P0108,C003,STU_C003_022,Company_11,EV Battery Technician,493093,Mumbai,2026
P0109,C003,STU_C003_023,Company_12,EV Battery Technician,499316,Mumbai,2026
P0110,C003,STU_C003_024,Company_15,EV Battery Technician,474416,Mumbai,2026
P0111,C003,STU_C003_025,Company_18,EV Battery Technician,336092,Mumbai,2026
P0112,C003,STU_C003_026,Company_19,EV Battery Technician,478011,Mumbai,2026
P0113,C003,STU_C003_027,Company_22,EV Battery Technician,484517,Mumbai,2026
P0114,C003,STU_C003_028,Company_23,EV Battery Technician,664743,Mumbai,2026
P0115,C003,STU_C003_029,Company_27,EV Battery Technician,465572,Mumbai,2026
P0116,C003,STU_C003_030,Company_30,EV Battery Technician,502616,Mumbai,2026
P0117,C003,STU_C003_031,Company_42,EV Battery Technician,477396,Mumbai,2026
P0118,C003,STU_C003_032,Company_44,EV Battery Technician,392349,Mumbai,2026
P0119,C003,STU_C003_033,Company_47,EV Battery Technician,565711,Mumbai,2026
P0120,C003,STU_C003_034,Company_49,EV Battery Technician,536394,Mumbai,2026
P0121,C004,STU_C004_001,Company_18,Solar Grid Engineer,539327,Mumbai,2026
P0122,C004,STU_C004_002,Company_19,Solar Grid Engineer,411795,Mumbai,2026
P0123,C004,STU_C004_003,Company_22,Solar Grid Engineer,585209,Mumbai,2026
P0124,C004,STU_C004_004,Company_23,Solar Grid Engineer,374861,Mumbai,2026
P0125,C004,STU_C004_005,Company_27,Solar Grid Engineer,524014,Mumbai,2026
P0126,C004,STU_C004_006,Company_30,Solar Grid Engineer,644284,Mumbai,2026
P0127,C004,STU_C004_007,Company_42,Solar Grid Engineer,405709,Mumbai,2026
P0128,C004,STU_C004_008,Company_44,Solar Grid Engineer,437527,Mumbai,2026
P0129,C004,STU_C004_009,Company_47,Solar Grid Engineer,487473,Mumbai,2026
P0130,C004,STU_C004_010,Company_49,Solar Grid Engineer,442239,Mumbai,2026
P0131,C004,STU_C004_011,Company_50,Solar Grid Engineer,363700,Mumbai,2026
P0132,C004,STU_C004_012,Company_54,Solar Grid Engineer,485142,Mumbai,2026
P0133,C004,STU_C004_013,Company_61,Solar Grid Engineer,400327,Mumbai,2026
P0134,C004,STU_C004_014,Company_69,Solar Grid Engineer,515519,Mumbai,2026
P0135,C004,STU_C004_015,Company_70,Solar Grid Engineer,411043,Mumbai,2026
P0136,C004,STU_C004_016,Company_85,Solar Grid Engineer,596245,Mumbai,2026
P0137,C004,STU_C004_017,Company_92,Solar Grid Engineer,421256,Mumbai,2026
P0138,C004,STU_C004_018,Company_94,Solar Grid Engineer,455845,Mumbai,2026
P0139,C004,STU_C004_019,Company_7,Solar Grid Engineer,541013,Mumbai,2026
P0140,C004,STU_C004_020,Company_8,Solar Grid Engineer,387685,Mumbai,2026
P0141,C004,STU_C004_021,Company_11,Solar Grid Engineer,497059,Mumbai,2026
P0142,C004,STU_C004_022,Company_12,Solar Grid Engineer,578035,Mumbai,2026
P0143,C004,STU_C004_023,Company_15,Solar Grid Engineer,359438,Mumbai,2026
P0144,C004,STU_C004_024,Company_18,Solar Grid Engineer,493847,Mumbai,2026
P0145,C004,STU_C004_025,Company_19,Solar Grid Engineer,499491,Mumbai,2026
P0146,C004,STU_C004_026,Company_22,Solar Grid Engineer,538636,Mumbai,2026
P0147,C004,STU_C004_027,Company_23,Solar Grid Engineer,387228,Mumbai,2026
P0148,C004,STU_C004_028,Company_27,Solar Grid Engineer,380965,Mumbai,2026
P0149,C004,STU_C004_029,Company_30,Solar Grid Engineer,519145,Mumbai,2026
P0150,C004,STU_C004_030,Company_42,Solar Grid Engineer,502273,Mumbai,2026
P0151,C004,STU_C004_031,Company_44,Solar Grid Engineer,498786,Mumbai,2026
P0152,C004,STU_C004_032,Company_47,Solar Grid Engineer,505983,Mumbai,2026
P0153,C004,STU_C004_033,Company_49,Solar Grid Engineer,428998,Mumbai,2026
P0154,C004,STU_C004_034,Company_50,Solar Grid Engineer,497419,Mumbai,2026
P0155,C004,STU_C004_035,Company_54,Solar Grid Engineer,501980,Mumbai,2026
P0156,C004,STU_C004_036,Company_61,Solar Grid Engineer,426423,Mumbai,2026
P0157,C004,STU_C004_037,Company_69,Solar Grid Engineer,619933,Mumbai,2026
P0158,C004,STU_C004_038,Company_70,Solar Grid Engineer,515537,Mumbai,2026
P0159,C004,STU_C004_039,Company_85,Solar Grid Engineer,390652,Mumbai,2026
P0160,C004,STU_C004_040,Company_92,Solar Grid Engineer,529241,Mumbai,2026
P0161,C004,STU_C004_041,Company_94,Solar Grid Engineer,406898,Mumbai,2026
P0162,C004,STU_C004_042,Company_7,Solar Grid Engineer,539031,Mumbai,2026
P0163,C004,STU_C004_043,Company_8,Solar Grid Engineer,566894,Mumbai,2026
P0164,C004,STU_C004_044,Company_11,Solar Grid Engineer,418448,Mumbai,2026
P0165,C004,STU_C004_045,Company_12,Solar Grid Engineer,552253,Mumbai,2026
P0166,C004,STU_C004_046,Company_15,Solar Grid Engineer,510958,Mumbai,2026
P0167,C004,STU_C004_047,Company_18,Solar Grid Engineer,541654,Mumbai,2026
P0168,C004,STU_C004_048,Company_19,Solar Grid Engineer,622259,Mumbai,2026
P0169,C005,STU_C005_001,Company_52,Supply Chain Coordinator,461595,Nagpur,2026
P0170,C005,STU_C005_002,Company_55,Supply Chain Coordinator,423469,Nagpur,2026
P0171,C005,STU_C005_003,Company_65,Supply Chain Coordinator,413286,Nagpur,2026
P0172,C005,STU_C005_004,Company_72,Supply Chain Coordinator,418814,Nagpur,2026
P0173,C005,STU_C005_005,Company_77,Supply Chain Coordinator,474217,Nagpur,2026
P0174,C005,STU_C005_006,Company_80,Supply Chain Coordinator,505586,Nagpur,2026
P0175,C005,STU_C005_007,Company_81,Supply Chain Coordinator,500751,Nagpur,2026
P0176,C005,STU_C005_008,Company_89,Supply Chain Coordinator,542038,Nagpur,2026
P0177,C005,STU_C005_009,Company_90,Supply Chain Coordinator,480975,Nagpur,2026
P0178,C005,STU_C005_010,Company_91,Supply Chain Coordinator,589015,Nagpur,2026
P0179,C005,STU_C005_011,Company_95,Supply Chain Coordinator,460150,Nagpur,2026
P0180,C005,STU_C005_012,Company_100,Supply Chain Coordinator,684012,Nagpur,2026
P0181,C005,STU_C005_013,Company_6,Supply Chain Coordinator,526925,Nagpur,2026
P0182,C005,STU_C005_014,Company_10,Supply Chain Coordinator,415713,Nagpur,2026
P0183,C005,STU_C005_015,Company_14,Supply Chain Coordinator,399683,Nagpur,2026
P0184,C005,STU_C005_016,Company_26,Supply Chain Coordinator,516185,Nagpur,2026
P0185,C005,STU_C005_017,Company_37,Supply Chain Coordinator,463240,Nagpur,2026
P0186,C005,STU_C005_018,Company_40,Supply Chain Coordinator,533550,Nagpur,2026
P0187,C005,STU_C005_019,Company_52,Supply Chain Coordinator,515492,Nagpur,2026
P0188,C005,STU_C005_020,Company_55,Supply Chain Coordinator,474537,Nagpur,2026
P0189,C005,STU_C005_021,Company_65,Supply Chain Coordinator,416490,Nagpur,2026
P0190,C005,STU_C005_022,Company_72,Supply Chain Coordinator,366386,Nagpur,2026
P0191,C005,STU_C005_023,Company_77,Supply Chain Coordinator,446511,Nagpur,2026
P0192,C005,STU_C005_024,Company_80,Supply Chain Coordinator,544229,Nagpur,2026
P0193,C005,STU_C005_025,Company_81,Supply Chain Coordinator,496057,Nagpur,2026
P0194,C005,STU_C005_026,Company_89,Supply Chain Coordinator,386569,Nagpur,2026
P0195,C005,STU_C005_027,Company_90,Supply Chain Coordinator,492988,Nagpur,2026
P0196,C005,STU_C005_028,Company_91,Supply Chain Coordinator,508898,Nagpur,2026
P0197,C005,STU_C005_029,Company_95,Supply Chain Coordinator,413710,Nagpur,2026
P0198,C005,STU_C005_030,Company_100,Supply Chain Coordinator,491529,Nagpur,2026
P0199,C005,STU_C005_031,Company_6,Supply Chain Coordinator,484365,Nagpur,2026
P0200,C005,STU_C005_032,Company_10,Supply Chain Coordinator,394277,Nagpur,2026
P0201,C005,STU_C005_033,Company_14,Supply Chain Coordinator,506834,Nagpur,2026
P0202,C005,STU_C005_034,Company_26,Supply Chain Coordinator,522058,Nagpur,2026
P0203,C005,STU_C005_035,Company_37,Supply Chain Coordinator,561228,Nagpur,2026
P0204,C005,STU_C005_036,Company_40,Supply Chain Coordinator,559035,Nagpur,2026
P0205,C005,STU_C005_037,Company_52,Supply Chain Coordinator,376674,Nagpur,2026
P0206,C005,STU_C005_038,Company_55,Supply Chain Coordinator,409663,Nagpur,2026
P0207,C005,STU_C005_039,Company_65,Supply Chain Coordinator,518627,Nagpur,2026
P0208,C005,STU_C005_040,Company_72,Supply Chain Coordinator,518533,Nagpur,2026
P0209,C005,STU_C005_041,Company_77,Supply Chain Coordinator,518628,Nagpur,2026
P0210,C005,STU_C005_042,Company_80,Supply Chain Coordinator,768954,Nagpur,2026
P0211,C005,STU_C005_043,Company_81,Supply Chain Coordinator,522816,Nagpur,2026
P0212,C005,STU_C005_044,Company_89,Supply Chain Coordinator,565167,Nagpur,2026
P0213,C005,STU_C005_045,Company_90,Supply Chain Coordinator,551550,Nagpur,2026
P0214,C005,STU_C005_046,Company_91,Supply Chain Coordinator,528854,Nagpur,2026
P0215,C005,STU_C005_047,Company_95,Supply Chain Coordinator,456354,Nagpur,2026
P0216,C005,STU_C005_048,Company_100,Supply Chain Coordinator,536922,Nagpur,2026
P0217,C005,STU_C005_049,Company_6,Supply Chain Coordinator,422038,Nagpur,2026
P0218,C005,STU_C005_050,Company_10,Supply Chain Coordinator,462238,Nagpur,2026
P0219,C005,STU_C005_051,Company_14,Supply Chain Coordinator,443597,Nagpur,2026
P0220,C005,STU_C005_052,Company_26,Supply Chain Coordinator,486140,Nagpur,2026
P0221,C005,STU_C005_053,Company_37,Supply Chain Coordinator,653599,Nagpur,2026
P0222,C005,STU_C005_054,Company_40,Supply Chain Coordinator,339955,Nagpur,2026
P0223,C005,STU_C005_055,Company_52,Supply Chain Coordinator,531469,Nagpur,2026
P0224,C005,STU_C005_056,Company_55,Supply Chain Coordinator,359046,Nagpur,2026
P0225,C005,STU_C005_057,Company_65,Supply Chain Coordinator,444605,Nagpur,2026
P0226,C005,STU_C005_058,Company_72,Supply Chain Coordinator,561671,Nagpur,2026
P0227,C005,STU_C005_059,Company_77,Supply Chain Coordinator,484821,Nagpur,2026
P0228,C005,STU_C005_060,Company_80,Supply Chain Coordinator,399169,Nagpur,2026
P0229,C005,STU_C005_061,Company_81,Supply Chain Coordinator,426352,Nagpur,2026
P0230,C005,STU_C005_062,Company_89,Supply Chain Coordinator,530969,Nagpur,2026
P0231,C005,STU_C005_063,Company_90,Supply Chain Coordinator,425222,Nagpur,2026
P0232,C005,STU_C005_064,Company_91,Supply Chain Coordinator,496234,Nagpur,2026
P0233,C005,STU_C005_065,Company_95,Supply Chain Coordinator,483417,Nagpur,2026
P0234,C005,STU_C005_066,Company_100,Supply Chain Coordinator,431129,Nagpur,2026
P0235,C005,STU_C005_067,Company_6,Supply Chain Coordinator,640795,Nagpur,2026
P0236,C005,STU_C005_068,Company_10,Supply Chain Coordinator,527543,Nagpur,2026
P0237,C005,STU_C005_069,Company_14,Supply Chain Coordinator,328114,Nagpur,2026
P0238,C005,STU_C005_070,Company_26,Supply Chain Coordinator,493984,Nagpur,2026
P0239,C005,STU_C005_071,Company_37,Supply Chain Coordinator,430366,Nagpur,2026
P0240,C005,STU_C005_072,Company_40,Supply Chain Coordinator,543932,Nagpur,2026
P0241,C005,STU_C005_073,Company_52,Supply Chain Coordinator,420560,Nagpur,2026
P0242,C005,STU_C005_074,Company_55,Supply Chain Coordinator,471394,Nagpur,2026
P0243,C005,STU_C005_075,Company_65,Supply Chain Coordinator,517874,Nagpur,2026
P0244,C005,STU_C005_076,Company_72,Supply Chain Coordinator,544931,Nagpur,2026
P0245,C005,STU_C005_077,Company_77,Supply Chain Coordinator,389977,Nagpur,2026
P0246,C005,STU_C005_078,Company_80,Supply Chain Coordinator,454912,Nagpur,2026
P0247,C006,STU_C006_001,Company_36,PLC Programmer,444379,Nashik,2026
P0248,C006,STU_C006_002,Company_38,PLC Programmer,431000,Nashik,2026
P0249,C006,STU_C006_003,Company_46,PLC Programmer,612409,Nashik,2026
P0250,C006,STU_C006_004,Company_48,PLC Programmer,510373,Nashik,2026
P0251,C006,STU_C006_005,Company_51,PLC Programmer,385433,Nashik,2026
P0252,C006,STU_C006_006,Company_53,PLC Programmer,548839,Nashik,2026
P0253,C006,STU_C006_007,Company_58,PLC Programmer,639161,Nashik,2026
P0254,C006,STU_C006_008,Company_59,PLC Programmer,557434,Nashik,2026
P0255,C006,STU_C006_009,Company_60,PLC Programmer,366047,Nashik,2026
P0256,C006,STU_C006_010,Company_62,PLC Programmer,443682,Nashik,2026
P0257,C006,STU_C006_011,Company_71,PLC Programmer,575018,Nashik,2026
P0258,C006,STU_C006_012,Company_74,PLC Programmer,426924,Nashik,2026
P0259,C006,STU_C006_013,Company_83,PLC Programmer,513286,Nashik,2026
P0260,C006,STU_C006_014,Company_93,PLC Programmer,538097,Nashik,2026
P0261,C006,STU_C006_015,Company_1,PLC Programmer,410480,Nashik,2026
P0262,C006,STU_C006_016,Company_2,PLC Programmer,475535,Nashik,2026
P0263,C006,STU_C006_017,Company_16,PLC Programmer,320000,Nashik,2026
P0264,C006,STU_C006_018,Company_20,PLC Programmer,403170,Nashik,2026
P0265,C006,STU_C006_019,Company_29,PLC Programmer,461057,Nashik,2026
P0266,C006,STU_C006_020,Company_33,PLC Programmer,386416,Nashik,2026
P0267,C006,STU_C006_021,Company_35,PLC Programmer,602430,Nashik,2026
P0268,C006,STU_C006_022,Company_36,PLC Programmer,372739,Nashik,2026
P0269,C006,STU_C006_023,Company_38,PLC Programmer,446996,Nashik,2026
P0270,C006,STU_C006_024,Company_46,PLC Programmer,489805,Nashik,2026
P0271,C006,STU_C006_025,Company_48,PLC Programmer,588095,Nashik,2026
P0272,C006,STU_C006_026,Company_51,PLC Programmer,372310,Nashik,2026
P0273,C006,STU_C006_027,Company_53,PLC Programmer,567237,Nashik,2026
P0274,C006,STU_C006_028,Company_58,PLC Programmer,480767,Nashik,2026
P0275,C006,STU_C006_029,Company_59,PLC Programmer,406386,Nashik,2026
P0276,C006,STU_C006_030,Company_60,PLC Programmer,514657,Nashik,2026
P0277,C006,STU_C006_031,Company_62,PLC Programmer,494929,Nashik,2026
P0278,C006,STU_C006_032,Company_71,PLC Programmer,434983,Nashik,2026
P0279,C006,STU_C006_033,Company_74,PLC Programmer,485235,Nashik,2026
P0280,C006,STU_C006_034,Company_83,PLC Programmer,451101,Nashik,2026
P0281,C006,STU_C006_035,Company_93,PLC Programmer,488513,Nashik,2026
P0282,C006,STU_C006_036,Company_1,PLC Programmer,529659,Nashik,2026
P0283,C006,STU_C006_037,Company_2,PLC Programmer,598951,Nashik,2026
P0284,C006,STU_C006_038,Company_16,PLC Programmer,387163,Nashik,2026
P0285,C006,STU_C006_039,Company_20,PLC Programmer,639977,Nashik,2026
P0286,C006,STU_C006_040,Company_29,PLC Programmer,333593,Nashik,2026
P0287,C006,STU_C006_041,Company_33,PLC Programmer,468616,Nashik,2026
P0288,C006,STU_C006_042,Company_35,PLC Programmer,524123,Nashik,2026
P0289,C006,STU_C006_043,Company_36,PLC Programmer,501074,Nashik,2026
P0290,C006,STU_C006_044,Company_38,PLC Programmer,433297,Nashik,2026
P0291,C006,STU_C006_045,Company_46,PLC Programmer,464390,Nashik,2026
P0292,C006,STU_C006_046,Company_48,PLC Programmer,443024,Nashik,2026
P0293,C006,STU_C006_047,Company_51,PLC Programmer,435797,Nashik,2026
P0294,C006,STU_C006_048,Company_53,PLC Programmer,543720,Nashik,2026
P0295,C006,STU_C006_049,Company_58,PLC Programmer,506776,Nashik,2026
P0296,C006,STU_C006_050,Company_59,PLC Programmer,428031,Nashik,2026
P0297,C006,STU_C006_051,Company_60,PLC Programmer,547469,Nashik,2026
P0298,C006,STU_C006_052,Company_62,PLC Programmer,503047,Nashik,2026
P0299,C006,STU_C006_053,Company_71,PLC Programmer,540964,Nashik,2026
P0300,C006,STU_C006_054,Company_74,PLC Programmer,527222,Nashik,2026
P0301,C006,STU_C006_055,Company_83,PLC Programmer,417825,Nashik,2026
P0302,C006,STU_C006_056,Company_93,PLC Programmer,437986,Nashik,2026
P0303,C006,STU_C006_057,Company_1,PLC Programmer,536047,Nashik,2026
P0304,C006,STU_C006_058,Company_2,PLC Programmer,525777,Nashik,2026
P0305,C006,STU_C006_059,Company_16,PLC Programmer,478432,Nashik,2026
P0306,C006,STU_C006_060,Company_20,PLC Programmer,488799,Nashik,2026
P0307,C006,STU_C006_061,Company_29,PLC Programmer,575824,Nashik,2026
P0308,C006,STU_C006_062,Company_33,PLC Programmer,435632,Nashik,2026
P0309,C006,STU_C006_063,Company_35,PLC Programmer,521032,Nashik,2026
P0310,C007,STU_C007_001,Company_38,Cloud Architect,464835,Nashik,2026
P0311,C007,STU_C007_002,Company_46,Cloud Architect,463673,Nashik,2026
P0312,C007,STU_C007_003,Company_48,Cloud Architect,562408,Nashik,2026
P0313,C007,STU_C007_004,Company_51,Cloud Architect,541906,Nashik,2026
P0314,C007,STU_C007_005,Company_53,Cloud Architect,541013,Nashik,2026
P0315,C007,STU_C007_006,Company_58,Cloud Architect,577910,Nashik,2026
