job_id,district,company,role,salary,experience,description,date
J0056,Chhatrapati Sambhajinagar,Company_63,Data Analyst,1400854,1 years,Sample job description,2026-09-01
J0057,Pune,Company_49,Robotics Maintenance Tech,692013,1 years,Sample job description,2026-09-01
J0058,Nagpur,Company_38,Data Analyst,1030343,2 years,Sample job description,2026-09-01
J0059,Mumbai,Company_90,Full Stack Developer,1268177,4 years,Sample job description,2026-09-01
J0060,Pune,Company_42,Robotics Maintenance Tech,710314,1 years,Sample job description,2026-09-01
J0061,Mumbai,Company_78,Solar Grid Engineer,1364099,0 years,Sample job description,2026-09-01
J0062,Chhatrapati Sambhajinagar,Company_34,EV Battery Technician,1464250,1 years,Sample job description,2026-09-01
J0063,Chhatrapati Sambhajinagar,Company_6,EV Battery Technician,453389,2 years,Sample job description,2026-09-01
J0064,Mumbai,Company_85,Robotics Maintenance Tech,897700,0 years,Sample job description,2026-09-01
J0065,Mumbai,Company_5,PLC Programmer,1381446,5 years,Sample job description,2026-09-01
J0066,Nagpur,Company_93,EV Battery Technician,1243479,0 years,Sample job description,2026-09-01
J0067,Pune,Company_58,Supply Chain Coordinator,1096332,2 years,Sample job description,2026-09-01
J0068,Nashik,Company_29,Digital Marketing Specialist,662583,0 years,Sample job description,2026-09-01
J0069,Chhatrapati Sambhajinagar,Company_52,Data Analyst,1108915,4 years,Sample job description,2026-09-01
J0070,Chhatrapati Sambhajinagar,Company_89,Robotics Maintenance Tech,644153,4 years,Sample job description,2026-09-01
J0071,Nashik,Company_2,Digital Marketing Specialist,1098358,4 years,Sample job description,2026-09-01
J0072,Nagpur,Company_58,Data Analyst,1031441,2 years,Sample job description,2026-09-01
J0073,Nashik,Company_88,Solar Grid Engineer,1070784,3 years,Sample job description,2026-09-01
J0074,Nagpur,Company_7,Warehouse Manager,1097882,4 years,Sample job description,2026-09-01
J0075,Pune,Company_39,PLC Programmer,1264646,5 years,Sample job description,2026-09-01
J0076,Mumbai,Company_7,Data Analyst,1355894,1 years,Sample job description,2026-09-01
J0077,Pune,Company_60,EV Battery Technician,1412608,2 years,Sample job description,2026-09-01
J0078,Nashik,Company_21,Data Analyst,1107430,0 years,Sample job description,2026-09-01
J0079,Nagpur,Company_9,Solar Grid Engineer,1118851,0 years,Sample job description,2026-09-01
J0080,Pune,Company_86,PLC Programmer,1481134,0 years,Sample job description,2026-09-01
J0081,Nashik,Company_48,Cloud Architect,983787,5 years,Sample job description,2026-09-01
J0082,Nashik,Company_26,PLC Programmer,726788,0 years,Sample job description,2026-09-01
J0083,Nagpur,Company_14,Digital Marketing Specialist,1403176,1 years,Sample job description,2026-09-01
J0084,Nashik,Company_4,PLC Programmer,1463525,2 years,Sample job description,2026-09-01
J0085,Nashik,Company_78,Solar Grid Engineer,654108,3 years,Sample job description,2026-09-01
J0086,Pune,Company_87,Solar Grid Engineer,870035,2 years,Sample job description,2026-09-01
J0087,Nagpur,Company_67,Supply Chain Coordinator,813785,1 years,Sample job description,2026-09-01
J0088,Mumbai,Company_70,Solar Grid Engineer,482720,3 years,Sample job description,2026-09-01
J0089,Chhatrapati Sambhajinagar,Company_43,PLC Programmer,1442777,1 years,Sample job description,2026-09-01
J0090,Nagpur,Company_94,EV Battery Technician,1200390,2 years,Sample job description,2026-09-01
J0091,Mumbai,Company_11,PLC Programmer,1256561,5 years,Sample job description,2026-09-01
J0092,Nashik,Company_74,Cloud Architect,1326686,1 years,Sample job description,2026-09-01
J0093,Nagpur,Company_52,Cloud Architect,953544,5 years,Sample job description,2026-09-01
J0094,Nagpur,Company_31,Robotics Maintenance Tech,1156119,0 years,Sample job description,2026-09-01
J0095,Mumbai,Company_30,Digital Marketing Specialist,1117644,5 years,Sample job description,2026-09-01
J0096,Nagpur,Company_71,Data Analyst,1180522,2 years,Sample job description,2026-09-01
J0097,Mumbai,Company_22,EV Battery Technician,1150935,3 years,Sample job description,2026-09-01
J0098,Pune,Company_38,Supply Chain Coordinator,590905,3 years,Sample job description,2026-09-01
J0099,Pune,Company_64,PLC Programmer,775701,2 years,Sample job description,2026-09-01
J0100,Nashik,Company_71,Full Stack Developer,834471,0 years,Sample job description,2026-09-01
J0101,Chhatrapati Sambhajinagar,Company_14,EV Battery Technician,853065,2 years,Sample job description,2026-09-01
J0102,Pune,Company_99,Supply Chain Coordinator,675759,1 years,Sample job description,2026-09-01
J0103,Pune,Company_74,Digital Marketing Specialist,849660,4 years,Sample job description,2026-09-01
J0104,Nagpur,Company_53,Digital Marketing Specialist,1422558,3 years,Sample job description,2026-09-01
J0105,Nashik,Company_66,Supply Chain Coordinator,1490267,5 years,Sample job description,2026-09-01
J0106,Mumbai,Company_2,Data Analyst,1420882,0 years,Sample job description,2026-09-01
J0107,Pune,Company_43,Digital Marketing Specialist,922024,0 years,Sample job description,2026-09-01
J0108,Mumbai,Company_98,Solar Grid Engineer,570191,0 years,Sample job description,2026-09-01
J0109,Mumbai,Company_25,Data Analyst,1025793,1 years,Sample job description,2026-09-01
J0110,Mumbai,Company_91,Warehouse Manager,411336,1 years,Sample job description,2026-09-01
J0111,Pune,Company_73,Solar Grid Engineer,632632,0 years,Sample job description,2026-09-01
J0112,Chhatrapati Sambhajinagar,Company_56,Full Stack Developer,406268,0 years,Sample job description,2026-09-01
J0113,Mumbai,Company_55,Full Stack Developer,1370049,1 years,Sample job description,2026-09-01
J0114,Mumbai,Company_92,Cloud Architect,1288411,5 years,Sample job description,2026-09-01
J0115,Nashik,Company_36,Warehouse Manager,694708,3 years,Sample job description,2026-09-01
J0116,Chhatrapati Sambhajinagar,Company_3,EV Battery Technician,1422656,4 years,Sample job description,2026-09-01
J0117,Nagpur,Company_66,EV Battery Technician,753710,2 years,Sample job description,2026-09-01
J0118,Nashik,Company_40,Supply Chain Coordinator,1141640,1 years,Sample job description,2026-09-01
J0119,Mumbai,Company_16,EV Battery Technician,1224617,4 years,Sample job description,2026-09-01
J0120,Nashik,Company_23,Data Analyst,1286562,2 years,Sample job description,2026-09-01
J0121,Chhatrapati Sambhajinagar,Company_72,Solar Grid Engineer,842327,4 years,Sample job description,2026-09-01
J0122,Mumbai,Company_44,Solar Grid Engineer,703612,3 years,Sample job description,2026-09-01
J0123,Chhatrapati Sambhajinagar,Company_97,Solar Grid Engineer,1252078,3 years,Sample job description,2026-09-01
J0124,Nashik,Company_75,Supply Chain Coordinator,978499,3 years,Sample job description,2026-09-01
J0125,Mumbai,Company_70,Robotics Maintenance Tech,1324452,3 years,Sample job description,2026-09-01
J0126,Nashik,Company_66,Data Analyst,458963,1 years,Sample job description,2026-09-01
J0127,Pune,Company_28,PLC Programmer,348889,2 years,Sample job description,2026-09-01
J0128,Nashik,Company_86,EV Battery Technician,658304,5 years,Sample job description,2026-09-01
J0129,Mumbai,Company_95,PLC Programmer,590580,4 years,Sample job description,2026-09-01
J0130,Nashik,Company_34,Cloud Architect,1424486,0 years,Sample job description,2026-09-01
J0131,Nashik,Company_88,Data Analyst,1260329,1 years,Sample job description,2026-09-01
J0132,Mumbai,Company_31,Full Stack Developer,886038,4 years,Sample job description,2026-09-01
J0133,Nashik,Company_14,Robotics Maintenance Tech,1202918,5 years,Sample job description,2026-09-01
J0134,Mumbai,Company_74,EV Battery Technician,389361,1 years,Sample job description,2026-09-01
J0135,Chhatrapati Sambhajinagar,Company_83,Full Stack Developer,878413,5 years,Sample job description,2026-09-01
J0136,Pune,Company_38,Robotics Maintenance Tech,1180405,1 years,Sample job description,2026-09-01
J0137,Nagpur,Company_23,Digital Marketing Specialist,1263991,4 years,Sample job description,2026-09-01
J0138,Nagpur,Company_30,Solar Grid Engineer,733167,3 years,Sample job description,2026-09-01
J0139,Mumbai,Company_55,Data Analyst,615213,0 years,Sample job description,2026-09-01
J0140,Pune,Company_29,Digital Marketing Specialist,937356,0 years,Sample job description,2026-09-01
J0141,Mumbai,Company_61,Digital Marketing Specialist,1006241,1 years,Sample job description,2026-09-01
J0142,Chhatrapati Sambhajinagar,Company_22,Data Analyst,444680,1 years,Sample job description,2026-09-01
J0143,Nagpur,Company_91,Full Stack Developer,1320948,5 years,Sample job description,2026-09-01
J0144,Mumbai,Company_1,EV Battery Technician,1482585,1 years,Sample job description,2026-09-01
J0145,Chhatrapati Sambhajinagar,Company_41,Data Analyst,968603,0 years,Sample job description,2026-09-01
J0146,Pune,Company_74,Supply Chain Coordinator,538478,2 years,Sample job description,2026-09-01
J0147,Nashik,Company_27,Full Stack Developer,1031339,4 years,Sample job description,2026-09-01
J0148,Chhatrapati Sambhajinagar,Company_98,Digital Marketing Specialist,1391744,5 years,Sample job description,2026-09-01
J0149,Chhatrapati Sambhajinagar,Company_74,Cloud Architect,1031244,2 years,Sample job description,2026-09-01
J0150,Nashik,Company_81,Full Stack Developer,831410,3 years,Sample job description,2026-09-01
J0151,Nashik,Company_16,Full Stack Developer,580777,1 years,Sample job description,2026-09-01
J0152,Nashik,Company_73,Data Analyst,1262040,4 years,Sample job description,2026-09-01
J0153,Chhatrapati Sambhajinagar,Company_88,Cloud Architect,1288629,3 years,Sample job description,2026-09-01
J0154,Chhatrapati Sambhajinagar,Company_20,Supply Chain Coordinator,495988,0 years,Sample job description,2026-09-01
J0155,Nagpur,Company_80,Data Analyst,817406,1 years,Sample job description,2026-09-01
J0156,Pune,Company_3,EV Battery Technician,743237,2 years,Sample job description,2026-09-01
J0157,Chhatrapati Sambhajinagar,Company_3,Robotics Maintenance Tech,1328992,1 years,Sample job description,2026-09-01
J0158,Mumbai,Company_71,Cloud Architect,1275502,0 years,Sample job description,2026-09-01
J0159,Chhatrapati Sambhajinagar,Company_68,EV Battery Technician,926037,0 years,Sample job description,2026-09-01
J0160,Nagpur,Company_76,Cloud Architect,349247,3 years,Sample job description,2026-09-01
J0161,Pune,Company_38,Full Stack Developer,986236,2 years,Sample job description,2026-09-01
J0162,Nagpur,Company_26,Solar Grid Engineer,1486508,0 years,Sample job description,2026-09-01
J0163,Nagpur,Company_39,Warehouse Manager,1450421,5 years,Sample job description,2026-09-01
J0164,Nagpur,Company_79,Warehouse Manager,1275754,2 years,Sample job description,2026-09-01
J0165,Chhatrapati Sambhajinagar,Company_81,Supply Chain Coordinator,885226,0 years,Sample job description,2026-09-01
J0166,Chhatrapati Sambhajinagar,Company_82,Supply Chain Coordinator,855792,2 years,Sample job description,2026-09-01
J0167,Chhatrapati Sambhajinagar,Company_82,PLC Programmer,568065,5 years,Sample job description,2026-09-01
J0168,Mumbai,Company_61,Full Stack Developer,840226,2 years,Sample job description,2026-09-01
J0169,Nashik,Company_85,Full Stack Developer,632827,3 years,Sample job description,2026-09-01
J0170,Chhatrapati Sambhajinagar,Company_13,Solar Grid Engineer,786156,2 years,Sample job description,2026-09-01
J0171,Chhatrapati Sambhajinagar,Company_76,Robotics Maintenance Tech,539929,5 years,Sample job description,2026-09-01
J0172,Chhatrapati Sambhajinagar,Company_89,Robotics Maintenance Tech,650163,1 years,Sample job description,2026-09-01
J0173,Mumbai,Company_87,Supply Chain Coordinator,1363382,5 years,Sample job description,2026-09-01
J0174,Chhatrapati Sambhajinagar,Company_76,Data Analyst,1307682,3 years,Sample job description,2026-09-01
J0175,Nagpur,Company_21,Cloud Architect,1467862,5 years,Sample job description,2026-09-01
J0176,Chhatrapati Sambhajinagar,Company_75,Data Analyst,964550,1 years,Sample job description,2026-09-01
J0177,Nagpur,Company_97,Digital Marketing Specialist,1095938,5 years,Sample job description,2026-09-01
J0178,Mumbai,Company_41,Robotics Maintenance Tech,1180008,3 years,Sample job description,2026-09-01
J0179,Pune,Company_17,Digital Marketing Specialist,830504,0 years,Sample job description,2026-09-01
J0180,Chhatrapati Sambhajinagar,Company_37,Data Analyst,1139599,3 years,Sample job description,2026-09-01
J0181,Chhatrapati Sambhajinagar,Company_92,Digital Marketing Specialist,1272119,1 years,Sample job description,2026-09-01
J0182,Chhatrapati Sambhajinagar,Company_99,Cloud Architect,627665,1 years,Sample job description,2026-09-01
J0183,Pune,Company_48,Solar Grid Engineer,1194519,4 years,Sample job description,2026-09-01
J0184,Nashik,Company_75,Digital Marketing Specialist,1093301,0 years,Sample job description,2026-09-01
J0185,Chhatrapati Sambhajinagar,Company_51,Full Stack Developer,1203794,1 years,Sample job description,2026-09-01
J0186,Nagpur,Company_27,Data Analyst,503478,0 years,Sample job description,2026-09-01
J0187,Pune,Company_53,Robotics Maintenance Tech,754086,0 years,Sample job description,2026-09-01
J0188,Mumbai,Company_6,Warehouse Manager,1177744,3 years,Sample job description,2026-09-01
J0189,Chhatrapati Sambhajinagar,Company_7,Data Analyst,736252,5 years,Sample job description,2026-09-01
J0190,Nashik,Company_62,Warehouse Manager,1306720,4 years,Sample job description,2026-09-01
J0191,Nashik,Company_44,PLC Programmer,1373692,3 years,Sample job description,2026-09-01
J0192,Mumbai,Company_39,Full Stack Developer,951013,1 years,Sample job description,2026-09-01
J0193,Mumbai,Company_54,PLC Programmer,678603,2 years,Sample job description,2026-09-01
J0194,Chhatrapati Sambhajinagar,Company_34,PLC Programmer,572095,5 years,Sample job description,2026-09-01
J0195,Chhatrapati Sambhajinagar,Company_42,Supply Chain Coordinator,901267,3 years,Sample job description,2026-09-01
J0196,Chhatrapati Sambhajinagar,Company_45,PLC Programmer,1460186,5 years,Sample job description,2026-09-01
J0197,Nagpur,Company_17,Solar Grid Engineer,1308545,4 years,Sample job description,2026-09-01
J0198,Chhatrapati Sambhajinagar,Company_97,Data Analyst,751163,4 years,Sample job description,2026-09-01
J0199,Pune,Company_97,Robotics Maintenance Tech,1292224,2 years,Sample job description,2026-09-01
J0200,Nashik,Company_76,Warehouse Manager,928427,4 years,Sample job description,2026-09-01
J0201,Nagpur,Company_96,Digital Marketing Specialist,751557,5 years,Sample job description,2026-09-01
J0202,Chhatrapati Sambhajinagar,Company_38,Data Analyst,693084,4 years,Sample job description,2026-09-01
J0203,Nagpur,Company_45,Cloud Architect,1238004,4 years,Sample job description,2026-09-01
J0204,Chhatrapati Sambhajinagar,Company_66,Full Stack Developer,478586,4 years,Sample job description,2026-09-01
J0205,Nagpur,Company_22,Warehouse Manager,836912,5 years,Sample job description,2026-09-01
J0206,Mumbai,Company_22,Robotics Maintenance Tech,301160,4 years,Sample job description,2026-09-01
J0207,Mumbai,Company_67,Supply Chain Coordinator,1246154,3 years,Sample job description,2026-09-01
J0208,Mumbai,Company_41,Solar Grid Engineer,1120936,2 years,Sample job description,2026-09-01
J0209,Chhatrapati Sambhajinagar,Company_96,Digital Marketing Specialist,1272220,1 years,Sample job description,2026-09-01
J0210,Pune,Company_33,Cloud Architect,834822,1 years,Sample job description,2026-09-01
J0211,Nagpur,Company_3,Cloud Architect,912566,5 years,Sample job description,2026-09-01
J0212,Nagpur,Company_90,Supply Chain Coordinator,338639,1 years,Sample job description,2026-09-01
J0213,Chhatrapati Sambhajinagar,Company_31,Data Analyst,532748,4 years,Sample job description,2026-09-01
J0214,Nashik,Company_58,Data Analyst,445445,1 years,Sample job description,2026-09-01
J0215,Nashik,Company_71,EV Battery Technician,611489,5 years,Sample job description,2026-09-01
J0216,Nashik,Company_19,Solar Grid Engineer,453483,1 years,Sample job description,2026-09-01
J0217,Nashik,Company_8,Warehouse Manager,1409550,5 years,Sample job description,2026-09-01
J0218,Nashik,Company_32,PLC Programmer,1333927,1 years,Sample job description,2026-09-01
J0219,Nagpur,Company_22,Solar Grid Engineer,688451,5 years,Sample job description,2026-09-01
J0220,Nagpur,Company_42,EV Battery Technician,1380972,1 years,Sample job description,2026-09-01
J0221,Nashik,Company_44,Digital Marketing Specialist,809732,2 years,Sample job description,2026-09-01
J0222,Nagpur,Company_5,Full Stack Developer,1425648,5 years,Sample job description,2026-09-01
J0223,Pune,Company_97,PLC Programmer,1340848,4 years,Sample job description,2026-09-01
J0224,Chhatrapati Sambhajinagar,Company_37,PLC Programmer,975333,3 years,Sample job description,2026-09-01
J0225,Nagpur,Company_32,Cloud Architect,810790,2 years,Sample job description,2026-09-01
J0226,Pune,Company_11,Full Stack Developer,568796,2 years,Sample job description,2026-09-01
J0227,Nagpur,Company_51,Supply Chain Coordinator,1466844,1 years,Sample job description,2026-09-01
J0228,Nashik,Company_16,Full Stack Developer,588043,1 years,Sample job description,2026-09-01
J0229,Nashik,Company_33,Cloud Architect,551672,5 years,Sample job description,2026-09-01
J0230,Pune,Company_49,Robotics Maintenance Tech,1050284,3 years,Sample job description,2026-09-01
J0231,Chhatrapati Sambhajinagar,Company_100,EV Battery Technician,818825,3 years,Sample job description,2026-09-01
J0232,Chhatrapati Sambhajinagar,Company_30,Warehouse Manager,1365922,0 years,Sample job description,2026-09-01
J0233,Nagpur,Company_80,Warehouse Manager,1028133,4 years,Sample job description,2026-09-01
J0234,Chhatrapati Sambhajinagar,Company_64,Digital Marketing Specialist,923841,2 years,Sample job description,2026-09-01
J0235,Nashik,Company_95,Cloud Architect,1261007,1 years,Sample job description,2026-09-01
J0236,Pune,Company_94,Data Analyst,456387,1 years,Sample job description,2026-09-01
J0237,Chhatrapati Sambhajinagar,Company_94,Data Analyst,315012,0 years,Sample job description,2026-09-01
J0238,Mumbai,Company_81,PLC Programmer,981684,0 years,Sample job description,2026-09-01
J0239,Nashik,Company_71,Solar Grid Engineer,1425755,2 years,Sample job description,2026-09-01
J0240,Chhatrapati Sambhajinagar,Company_44,Full Stack Developer,491513,5 years,Sample job description,2026-09-01
J0241,Mumbai,Company_48,Cloud Architect,1207316,4 years,Sample job description,2026-09-01
J0242,Nashik,Company_95,Solar Grid Engineer,333169,0 years,Sample job description,2026-09-01
J0243,Mumbai,Company_100,Robotics Maintenance Tech,1313869,5 years,Sample job description,2026-09-01
J0244,Pune,Company_75,Data Analyst,625303,1 years,Sample job description,2026-09-01
J0245,Mumbai,Company_29,PLC Programmer,1210604,2 years,Sample job description,2026-09-01
J0246,Chhatrapati Sambhajinagar,Company_54,Warehouse Manager,354831,0 years,Sample job description,2026-09-01
J0247,Nashik,Company_85,Data Analyst,1324859,5 years,Sample job description,2026-09-01
J0248,Chhatrapati Sambhajinagar,Company_78,Cloud Architect,706026,5 years,Sample job description,2026-09-01
J0249,Nashik,Company_83,PLC Programmer,1075815,4 years,Sample job description,2026-09-01
J0250,Nashik,Company_95,EV Battery Technician,1280336,5 years,Sample job description,2026-09-01
J0251,Nagpur,Company_64,Data Analyst,771897,0 years,Sample job description,2026-09-01
J0252,Mumbai,Company_58,Cloud Architect,1232092,0 years,Sample job description,2026-09-01
J0253,Nagpur,Company_95,Supply Chain Coordinator,645464,1 years,Sample job description,2026-09-01
J0254,Chhatrapati Sambhajinagar,Company_45,PLC Programmer,1365380,5 years,Sample job description,2026-09-01
J0255,Chhatrapati Sambhajinagar,Company_64,Full Stack Developer,661146,1 years,Sample job description,2026-09-01
J0256,Pune,Company_9,PLC Programmer,1397048,2 years,Sample job description,2026-09-01
J0257,Nashik,Company_86,PLC Programmer,891002,5 years,Sample job description,2026-09-01
J0258,Pune,Company_91,EV Battery Technician,1032406,3 years,Sample job description,2026-09-01
J0259,Chhatrapati Sambhajinagar,Company_66,Digital Marketing Specialist,534000,1 years,Sample job description,2026-09-01
J0260,Chhatrapati Sambhajinagar,Company_58,EV Battery Technician,438682,3 years,Sample job description,2026-09-01
J0261,Pune,Company_22,Warehouse Manager,1163796,4 years,Sample job description,2026-09-01
J0262,Mumbai,Company_48,Cloud Architect,1003500,2 years,Sample job description,2026-09-01
J0263,Nagpur,Company_73,Warehouse Manager,610902,5 years,Sample job description,2026-09-01
J0264,Nashik,Company_79,Supply Chain Coordinator,499121,0 years,Sample job description,2026-09-01
J0265,Nashik,Company_81,Warehouse Manager,941000,5 years,Sample job description,2026-09-01
J0266,Nashik,Company_71,Cloud Architect,712300,4 years,Sample job description,2026-09-01
J0267,Nashik,Company_70,Supply Chain Coordinator,1210022,2 years,Sample job description,2026-09-01
J0268,Chhatrapati Sambhajinagar,Company_66,Warehouse Manager,1469348,3 years,Sample job description,2026-09-01
J0269,Mumbai,Company_18,PLC Programmer,869494,1 years,Sample job description,2026-09-01
J0270,Nashik,Company_91,EV Battery Technician,626644,1 years,Sample job description,2026-09-01
J0271,Nashik,Company_94,Solar Grid Engineer,822738,1 years,Sample job description,2026-09-01
J0272,Chhatrapati Sambhajinagar,Company_25,EV Battery Technician,695176,1 years,Sample job description,2026-09-01
J0273,Nashik,Company_36,Cloud Architect,1450957,4 years,Sample job description,2026-09-01
J0274,Mumbai,Company_39,Robotics Maintenance Tech,540606,2 years,Sample job description,2026-09-01
J0275,Pune,Company_77,Warehouse Manager,536565,0 years,Sample job description,2026-09-01
J0276,Pune,Company_50,EV Battery Technician,420661,2 years,Sample job description,2026-09-01
J0277,Chhatrapati Sambhajinagar,Company_3,Full Stack Developer,583636,5 years,Sample job description,2026-09-01
J0278,Nashik,Company_41,Data Analyst,538276,4 years,Sample job description,2026-09-01
J0279,Mumbai,Company_79,Digital Marketing Specialist,1321032,0 years,Sample job description,2026-09-01
J0280,Nashik,Company_5,Robotics Maintenance Tech,1177198,0 years,Sample job description,2026-09-01
J0281,Pune,Company_28,Solar Grid Engineer,545580,5 years,Sample job description,2026-09-01
J0282,Nashik,Company_57,Robotics Maintenance Tech,1443572,5 years,Sample job description,2026-09-01
J0283,Chhatrapati Sambhajinagar,Company_24,Supply Chain Coordinator,1016417,0 years,Sample job description,2026-09-01
J0284,Chhatrapati Sambhajinagar,Company_29,Supply Chain Coordinator,966806,0 years,Sample job description,2026-09-01
J0285,Chhatrapati Sambhajinagar,Company_3,EV Battery Technician,1239983,4 years,Sample job description,2026-09-01
J0286,Mumbai,Company_47,Digital Marketing Specialist,938930,0 years,Sample job description,2026-09-01
J0287,Mumbai,Company_68,Robotics Maintenance Tech,1139457,5 years,Sample job description,2026-09-01
J0288,Chhatrapati Sambhajinagar,Company_91,Solar Grid Engineer,531603,3 years,Sample job description,2026-09-01
J0289,Chhatrapati Sambhajinagar,Company_14,Digital Marketing Specialist,444565,2 years,Sample job description,2026-09-01
J0290,Mumbai,Company_51,Solar Grid Engineer,1180582,4 years,Sample job description,2026-09-01
J0291,Chhatrapati Sambhajinagar,Company_61,Cloud Architect,741828,2 years,Sample job description,2026-09-01
J0292,Mumbai,Company_23,Solar Grid Engineer,1052859,0 years,Sample job description,2026-09-01
J0293,Chhatrapati Sambhajinagar,Company_98,Supply Chain Coordinator,487563,3 years,Sample job description,2026-09-01
J0294,Mumbai,Company_16,Data Analyst,568855,4 years,Sample job description,2026-09-01
J0295,Pune,Company_83,Data Analyst,813326,5 years,Sample job description,2026-09-01
J0296,Nashik,Company_61,Supply Chain Coordinator,820261,0 years,Sample job description,2026-09-01
